date,home_team,away_team,home_goals,away_goals,home_win
2021-12-17,SJS,VAN,2,5,0
2021-12-17,NSH,COL,5,2,1
2021-12-17,NJD,VGK,3,5,0
2021-12-17,MIN,BUF,2,3,0
2021-12-17,FLA,LAK,1,4,0
2021-12-17,EDM,CBJ,5,2,1
2021-12-17,CAR,DET,5,3,1
2021-12-17,MTL,PHI,3,2,1
2021-12-18,ANA,ARI,5,6,0
2021-12-18,CHI,NSH,2,3,0
2021-12-18,NYR,VGK,2,3,0
2021-12-18,PIT,BUF,3,2,1
2021-12-18,STL,DAL,4,1,1
2021-12-18,WPG,WSH,2,5,0
2021-12-19,DET,NJD,5,2,1
2021-12-19,WPG,STL,4,2,1
2021-12-19,SEA,EDM,3,5,0
2021-12-19,PHI,OTT,4,3,1
2021-12-19,CAR,LAK,5,1,1
2021-12-19,DAL,CHI,4,3,1
2021-12-19,NYI,VGK,3,4,0
2021-12-20,NJD,PIT,2,3,0
2021-12-20,WSH,LAK,2,3,0
2021-12-21,DAL,MIN,7,4,1
2021-12-22,VGK,TBL,3,4,0
2021-12-29,TBL,MTL,5,4,1
2021-12-29,SJS,ARI,8,7,1
2021-12-29,LAK,VGK,3,6,0
2021-12-30,STL,EDM,4,2,1
2021-12-30,WSH,NSH,5,3,1
2021-12-30,SEA,PHI,2,3,0
2021-12-30,ANA,VAN,1,2,0
2021-12-30,BUF,NJD,3,4,0
2021-12-30,FLA,NYR,4,3,1
2021-12-31,VGK,ANA,3,1,1
2021-12-31,SEA,CGY,4,6,0
2021-12-31,NYI,BUF,4,1,1
2021-12-31,NJD,EDM,6,5,1
2021-12-31,SJS,PHI,3,2,1
2021-12-31,FLA,TBL,9,3,1
2021-12-31,CBJ,NSH,4,3,1
2021-12-31,CAR,MTL,4,0,1
2021-12-31,LAK,VAN,2,1,1
2022-01-01,TBL,NYR,3,4,0
2022-01-01,BOS,BUF,4,3,1
2022-01-01,CBJ,CAR,4,7,0
2022-01-01,DET,WSH,1,3,0
2022-01-01,FLA,MTL,5,2,1
2022-01-01,NSH,CHI,6,1,1
2022-01-01,NYI,EDM,3,2,1
2022-01-02,WSH,NJD,3,4,0
2022-01-02,SEA,VAN,2,5,0
2022-01-02,VGK,WPG,4,5,0
2022-01-02,PIT,SJS,8,5,1
