date,home_team,away_team,home_goals,away_goals,home_win,game_key,season,home_elo_pre,away_elo_pre,elo_diff,home_elo,away_elo,home_elo_post,away_elo_post,home_rolling_win_pct,home_rolling_goal_diff,rest_days_x,home_rest_days,away_rolling_win_pct,away_rolling_goal_diff,away_rest_days,home_home_rolling_win_pct,home_home_rolling_goal_diff,away_away_rolling_win_pct,away_away_rolling_goal_diff,rest_diff
2023-04-25,CAR,NYI,2,3,0,2023-04-25|CAR|NYI|2|3,2022,1589.5140554075058,1497.3612176103718,132.152837797134,1589.5140554075058,1497.3612176103718,1579.291362956466,1507.5839100614116,0.6,0.2,2.0,2.0,0.4,0.1,2.0,0.7,0.5,0.3,-0.8,0.0
2023-04-25,SEA,COL,3,2,1,2023-04-25|SEA|COL|3|2,2022,1519.2879781707827,1610.5330241520332,-51.24504598125054,1519.2879781707827,1610.5330241520332,1527.8862387895574,1601.9347635332585,0.6,1.3,2.0,2.0,0.8,1.0,2.0,0.4,0.4,1.0,2.0,0.0
2023-04-25,WPG,VGK,2,4,0,2023-04-25|WPG|VGK|2|4,2022,1515.9828945431825,1578.3657328860031,-22.382838342820605,1515.9828945431825,1578.3657328860031,1508.9653996161546,1585.383227813031,0.6,1.3,3.0,3.0,0.7,1.0,3.0,0.5,0.7,0.7,0.6,0.0
2023-04-26,BOS,FLA,3,4,0,2023-04-26|BOS|FLA|3|4,2022,1694.9567192543102,1531.325580591032,203.6311386632783,1694.9567192543102,1531.325580591032,1683.50359594291,1542.7787039024322,0.9,1.4,3.0,3.0,0.5,0.7,3.0,0.8,0.8,0.7,1.4,0.0
2023-04-26,DAL,MIN,4,0,1,2023-04-26|DAL|MIN|4|0,2022,1553.718560715187,1541.8398697372716,51.87869097791554,1553.718560715187,1541.8398697372716,1560.1069186643863,1535.4515117880724,0.8,1.7,3.0,3.0,0.4,-0.3,3.0,0.6,0.9,0.5,-0.3,0.0
2023-04-26,EDM,LAK,6,3,1,2023-04-26|EDM|LAK|6|3,2022,1601.688352057822,1558.6387293987586,83.04962265906329,1601.688352057822,1558.6387293987586,1607.428964316934,1552.8981171396465,0.8,2.0,2.0,2.0,0.5,0.1,2.0,0.8,1.9,0.6,0.4,0.0
2023-04-27,COL,SEA,2,3,0,2023-04-27|COL|SEA|2|3,2022,1601.9347635332585,1527.8862387895574,114.04852474370114,1601.9347635332585,1527.8862387895574,1592.0576034182109,1537.763398904605,0.7,0.8,2.0,2.0,0.6,0.7,2.0,0.6,0.6,0.6,0.6,0.0
2023-04-27,NJD,NYR,4,0,1,2023-04-27|NJD|NYR|4|0,2022,1562.1133226339919,1558.9504567433708,43.162865890621106,1562.1133226339919,1558.9504567433708,1568.6863413138817,1552.377438063481,0.6,0.5,3.0,3.0,0.5,1.2,3.0,0.5,0.5,0.6,1.3,0.0
2023-04-27,TOR,TBL,2,4,0,2023-04-27|TOR|TBL|2|4,2022,1597.0259570515732,1516.6730969631487,120.35286008842445,1597.0259570515732,1516.6730969631487,1587.0270918716592,1526.6719621430627,0.8,1.3,3.0,3.0,0.3,-0.5,3.0,0.5,0.9,0.3,-1.4,0.0
2023-04-28,FLA,BOS,7,5,1,2023-04-28|FLA|BOS|7|5,2022,1542.7787039024322,1683.50359594291,-100.7248920404777,1542.7787039024322,1683.50359594291,1552.3940905612494,1673.8882092840927,0.5,0.1,2.0,2.0,0.8,1.2,2.0,0.4,-0.2,1.0,2.5,0.0
2023-04-28,NYI,CAR,1,2,0,2023-04-28|NYI|CAR|1|2,2022,1507.5839100614116,1579.291362956466,-31.707452895054303,1507.5839100614116,1579.291362956466,1500.766476553427,1586.1087964644505,0.5,0.7,3.0,3.0,0.5,0.0,3.0,0.7,1.6,0.5,0.0,0.0
